143,50
144,8
146,79
142,36
144,39
144,5
144,14
146,123
144,6
146,122
144,76
142,69
145,119
148,58
144,73
143,42
142,53
144,105
142,118
142,128
145,113
142,93
143,136
146,49
145,46
142,101
145,26
145,103
143,135
146,81
142,51
142,116
144,70
145,22
142,12
146,29
142,3
146,92
145,62
147,35
143,139
144,75
142,13
147,121
144,126
148,104
145,112
148,10
148,48
144,7
146,37
142,83
145,115
144,82
146,64
142,19
142,100
144,77
142,0
146,88
142,84
146,108
142,125
142,3
145,1
148,138
145,40
146,38
147,106
145,137
142,56
143,78
146,4
144,61
144,31
144,110
148,80
145,20
142,86
144,131
144,74
146,128
